 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W)
1508,0,0,14,0.0,0.0000 ,0.0000 
1512,0,0,14,0.0,0.0000 ,0.0000 
1516,0,0,14,0.0,0.0000 ,0.0000 
1520,0,0,14,0.0,0.0000 ,0.0000 
1524,0,0,14,0.0,0.0000 ,0.0000 
1528,0,0,14,0.0,0.0000 ,0.0000 
1532,0,0,14,0.0,0.0000 ,0.0000 
1536,344,0.05,14,0.7,0.0454 ,64.7989 
1540,399,0.05,14,0.7,0.0635 ,90.7184 
1544,461,0.05,14,0.7,0.0816 ,116.6379 
1548,515,0.01,14,1.4,0.0998 ,71.4286 
1552,573,0.1,14,1.4,0.1225 ,87.4785 
1556,626,0.1,14,1.4,0.1451 ,103.6782 
1560,675,0.13,14,1.8,0.1769 ,97.1983 
1564,731,0.2,14,2.8,0.1996 ,71.2787 
1568,777,0.2,14,2.8,0.2268 ,80.9986 
1572,824,0.2,14,2.8,0.2631 ,93.9583 
1576,876,0.3,14,4.2,0.2903 ,69.1188 
1580,917,0.4,14,5.6,0.3266 ,58.3190 
1584,967,0.4,14,5.6,0.3629 ,64.7989 
1588,1007,0.44,14,6.2,0.3946 ,64.0625 
1592,1048,0.5,14,7.0,0.4264 ,60.9109 
1596,1092,0.6,14,8.4,0.4627 ,55.0790 
1600,1136,0.7,14,9.8,0.4990 ,50.9134 
1604,1169,0.7,14,9.8,0.5307 ,54.1533 
1608,1214,0.8,14,11.2,0.5761 ,51.4341 
1612,1252,0.9,14,12.6,0.6214 ,49.3191 
1616,1287,1,14,14.0,0.6441 ,46.0072 
1620,1322,1,14,14.0,0.6895 ,49.2471 
1624,1354,1.18,14,16.5,0.7257 ,43.9314 
1628,1397,1.3,14,18.2,0.7666 ,42.1193 
1632,1432,1.34,14,18.8,0.8255 ,44.0052 
1636,1470,1.5,14,21.0,0.8482 ,40.3913 
1640,1499,1.6,14,22.4,0.8890 ,39.6893 
1644,1532,1.7,14,23.8,0.9208 ,38.6887 
1648,1562,1.8,14,25.2,0.9662 ,38.3393 
1652,1597,1.9,14,26.6,0.9979 ,37.5151 
1656,1628,2.1,14,29.4,1.0523 ,35.7937 
1660,1669,2.2,14,30.8,1.0932 ,35.4921 
1664,1700,2.3,14,32.2,1.1431 ,35.4985 
1668,1731,2.56,14,35.8,1.2020 ,33.5385 
1672,1761,2.8,14,39.2,1.2338 ,31.4737 
1676,1793,2.9,14,40.6,1.2791 ,31.5057 
1680,1817,3.1,14,43.4,1.3245 ,30.5182 
1684,1849,3.2,14,44.8,1.3653 ,30.4757 
1688,1878,3.4,14,47.6,1.4061 ,29.5407 
1692,1912,3.57,14,50.0,1.4606 ,29.2230 
1696,1934,3.7,14,51.8,1.5105 ,29.1595 
1700,1967,3.9,14,54.6,1.5513 ,28.4118 
1704,1999,4.1,14,57.4,1.6057 ,27.9741 
1708,2032,4.31,14,60.3,1.6511 ,27.3629 
1712,2064,4.51,14,63.1,1.7100 ,27.0833 
1716,2085,4.79,14,67.1,1.7599 ,26.2442 
1720,2114,5,14,70.0,1.8144 ,25.9195 
1724,2145,5.2,14,72.8,1.8507 ,25.4211 
1728,2175,5.4,14,75.6,1.9096 ,25.2596 
1732,2201,5.6,14,78.4,1.9641 ,25.0517 
1736,2228,5.8,14,81.2,2.0049 ,24.6906 
1740,2245,6.1,14,85.4,2.0865 ,24.4324 
1744,2285,6.3,14,88.2,2.1183 ,24.0167 
1748,2312,6.57,14,92.0,2.1591 ,23.4736 
1752,2337,6.8,14,95.2,2.2453 ,23.5849 
1756,2375,7.1,14,99.4,2.2680 ,22.8165 
1760,2411,7.4,14,103.6,2.3405 ,22.5920 
1764,2437,7.74,14,108.4,2.4267 ,22.3950 
1768,2464,8.09,14,113.3,2.5038 ,22.1069 
1772,2498,8.4,14,117.6,2.5628 ,21.7925 
1776,2539,8.7,14,121.8,2.6354 ,21.6369 
1780,2583,8.95,14,125.3,2.6580 ,21.2135 
1784,2592,9.39,14,131.5,2.7578 ,20.9785 
1788,2617,9.6,14,134.4,2.7805 ,20.6884 
1792,2652,10,14,140.0,2.8803 ,20.5736 
1796,2659,10.3,14,144.2,2.9347 ,20.3519 
1800,2693,10.6,14,148.4,2.9937 ,20.1732 
1804,2714,10.86,14,152.0,3.0481 ,20.0483 
1808,2751,11.29,14,158.1,3.1298 ,19.8012 
1812,2773,11.57,14,162.0,3.1888 ,19.6861 
1816,2795,11.9,14,166.6,3.2341 ,19.4124 
1820,2815,12.3,14,172.2,3.3248 ,19.3080 
1824,2855,12.6,14,176.4,3.3611 ,19.0539 
1828,2878,12.95,14,181.3,3.4201 ,18.8642 
1832,2901,13.37,14,187.2,3.4927 ,18.6594 
1836,2926,13.72,14,192.1,3.5652 ,18.5612 
1840,2957,14.14,14,198.0,3.6242 ,18.3077 
1844,2984,14.5,14,203.0,3.6877 ,18.1660 
1848,3011,14.96,14,209.4,3.7693 ,17.9973 
1852,3035,15.36,14,215.0,3.8374 ,17.8450 
1856,3048,15.89,14,222.5,3.9236 ,17.6372 
1860,3087,16.24,14,227.4,3.9825 ,17.5164 
1864,3114,16.72,14,234.1,4.0279 ,17.2074 
1868,3139,17.18,14,240.5,4.1095 ,17.0861 
1872,3159,17.65,14,247.1,4.1549 ,16.8147 
1876,3183,18.08,14,253.1,4.2139 ,16.6477 
1880,3195,18.63,14,260.8,4.3046 ,16.5041 
1884,3218,19.08,14,267.1,4.3817 ,16.4035 
1888,3243,19.56,14,273.8,4.4225 ,16.1500 
1892,3263,20.07,14,281.0,4.5087 ,16.0464 
1896,3288,20.29,14,284.1,4.5268 ,15.9362 
1900,3279,20.36,14,285.0,4.5238 ,15.8734 
