 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W)
1100,3233,20.71,14,289.9,-3.5168 ,12.1315 
1104,3244,20.63,14,288.8,-3.4972 ,12.1086 
1108,3206,20.47,14,286.6,-3.4927 ,12.1874 
1112,3202,19.9,14,278.6,-3.4518 ,12.3899 
1116,3174,19.45,14,272.3,-3.4019 ,12.4934 
1120,3160,18.96,14,265.4,-3.3566 ,12.6453 
1124,3143,18.39,14,257.5,-3.2931 ,12.7906 
1128,3121,18,14,252.0,-3.2477 ,12.8878 
1132,3107,17.37,14,243.2,-3.1888 ,13.1127 
1136,3071,16.96,14,237.4,-3.1389 ,13.2196 
1140,3049,16.54,14,231.6,-3.0980 ,13.3790 
1144,3025,16.04,14,224.6,-3.0572 ,13.6142 
1148,3004,15.64,14,219.0,-3.0028 ,13.7138 
1152,2979,15.19,14,212.7,-2.9393 ,13.8215 
1156,2954,14.71,14,205.9,-2.8848 ,14.0082 
1160,2937,14.33,14,200.6,-2.8486 ,14.1988 
1164,2914,13.93,14,195.0,-2.7805 ,14.2576 
1168,2883,13.57,14,190.0,-2.7624 ,14.5403 
1172,2861,13.1,14,183.4,-2.6898 ,14.6663 
1176,2847,12.7,14,177.8,-2.6444 ,14.8731 
1180,2815,12.4,14,173.6,-2.5945 ,14.9455 
1184,2802,11.9,14,166.6,-2.5265 ,15.1651 
1188,2776,11.6,14,162.4,-2.4902 ,15.3339 
1192,2740,11.3,14,158.2,-2.4539 ,15.5116 
1196,2705,11,14,154.0,-2.4086 ,15.6401 
1200,2697,10.6,14,148.4,-2.3496 ,15.8329 
1204,2659,10.36,14,145.0,-2.3360 ,16.1059 
1208,2658,9.93,14,139.0,-2.2589 ,16.2487 
1212,2619,9.67,14,135.4,-2.2045 ,16.2835 
1216,2598,9.33,14,130.6,-2.1772 ,16.6685 
1220,2566,9,14,126.0,-2.1183 ,16.8117 
1224,2543,8.7,14,121.8,-2.0548 ,16.8700 
1228,2504,8.4,14,117.6,-2.0276 ,17.2411 
1232,2482,8,14,112.0,-1.9867 ,17.7387 
1236,2452,7.7,14,107.8,-1.9096 ,17.7145 
1240,2418,7.4,14,103.6,-1.8915 ,18.2575 
1244,2405,7.04,14,98.6,-1.8189 ,18.4548 
1248,2366,6.8,14,95.2,-1.7645 ,18.5344 
1252,2331,6.5,14,91.0,-1.7191 ,18.8914 
1256,2302,6.29,14,88.1,-1.6828 ,19.1100 
1260,2271,6,14,84.0,-1.6329 ,19.4397 
1264,2246,5.77,14,80.8,-1.5785 ,19.5407 
1268,2221,5.5,14,77.0,-1.5649 ,20.3233 
1272,2194,5.34,14,74.8,-1.5195 ,20.3255 
1276,2171,5.1,14,71.4,-1.4787 ,20.7102 
1280,2139,4.9,14,68.6,-1.4424 ,21.0266 
1284,2116,4.7,14,65.8,-1.4016 ,21.3009 
1288,2081,4.5,14,63.0,-1.3698 ,21.7436 
1292,2056,4.29,14,60.1,-1.3245 ,22.0528 
1296,2023,4.1,14,57.4,-1.2837 ,22.3635 
1300,1995,3.9,14,54.6,-1.2383 ,22.6796 
1304,1959,3.7,14,51.8,-1.1929 ,23.0299 
1308,1930,3.5,14,49.0,-1.1657 ,23.7904 
1312,1896,3.3,14,46.2,-1.1249 ,24.3487 
1316,1873,3.2,14,44.8,-1.0886 ,24.2996 
1320,1838,3,14,42.0,-1.0523 ,25.0556 
1324,1813,2.9,14,40.6,-1.0160 ,25.0258 
1328,1785,2.7,14,37.8,-0.9843 ,26.0395 
1332,1754,2.5,14,35.0,-0.9525 ,27.2155 
1336,1724,2.3,14,32.2,-0.9163 ,28.4552 
1340,1689,2.2,14,30.8,-0.8845 ,28.7177 
1344,1659,2,14,28.0,-0.8482 ,30.2935 
1348,1625,1.9,14,26.6,-0.8074 ,30.3531 
1352,1590,1.7,14,23.8,-0.7666 ,32.2088 
1356,1552,1.6,14,22.4,-0.7394 ,33.0069 
1360,1523,1.5,14,21.0,-0.7031 ,33.4794 
1364,1487,1.4,14,19.6,-0.6804 ,34.7137 
1368,1455,1.3,14,18.2,-0.6486 ,35.6394 
1372,1421,1.2,14,16.8,-0.6214 ,36.9893 
1376,1375,1.1,14,15.4,-0.5851 ,37.9957 
1380,1341,1,14,14.0,-0.5488 ,39.2033 
1384,1307,0.9,14,12.6,-0.5171 ,41.0393 
1388,1268,0.8,14,11.2,-0.4899 ,43.7392 
1392,1233,0.8,14,11.2,-0.4627 ,41.3093 
1396,1188,0.7,14,9.8,-0.4264 ,43.5078 
1400,1150,0.6,14,8.4,-0.3992 ,47.5192 
1404,1106,0.5,14,7.0,-0.3719 ,53.1351 
1408,1064,0.5,14,7.0,-0.3493 ,49.8951 
1412,1018,0.4,14,5.6,-0.3175 ,56.6990 
1416,974,0.4,14,5.6,-0.2858 ,51.0291 
1420,929,0.3,14,4.2,-0.2585 ,61.5589 
1424,886,0.3,14,4.2,-0.2359 ,56.1590 
1428,834,0.2,14,2.8,-0.2087 ,74.5187 
1432,786,0.2,14,2.8,-0.1860 ,66.4188 
1436,735,0.2,14,2.8,-0.1633 ,58.3190 
1440,683,0.11,14,1.5,-0.1451 ,94.2529 
1444,628,0.1,14,1.4,-0.1225 ,87.4785 
1448,575,0.1,14,1.4,-0.0998 ,71.2787 
1452,518,0.05,14,0.7,-0.0816 ,116.6379 
1456,463,0.05,14,0.7,-0.0680 ,97.1983 
1460,400,0.05,14,0.7,-0.0454 ,64.7989 
1464,342,0.05,14,0.7,-0.0318 ,45.3592 
1468,0,0,14,0.0,0.0000 ,0.0000 
1472,0,0,14,0.0,0.0000 ,0.0000 
1476,0,0,14,0.0,0.0000 ,0.0000 
1480,0,0,14,0.0,0.0000 ,0.0000 
1484,0,0,14,0.0,0.0000 ,0.0000 
1488,0,0,14,0.0,0.0000 ,0.0000 
1492,0,0,14,0.0,0.0000 ,0.0000 
1496,0,0,14,0.0,0.0000 ,0.0000 
1500,0,0,14,0.0,0.0000 ,0.0000 
1504,0,0,14,0.0,0.0000 ,0.0000 
