1560,592,0.1,12,1.2,0.1315,109.6181
1564,634,0.1,12,1.2,0.1542,128.5177
1568,680,0.2,12,2.4,0.1769,73.7087
1572,726,0.2,12,2.4,0.1996,83.1585
1576,768,0.2,12,2.4,0.2223,92.6084
1580,812,0.3,12,3.6,0.254,70.5588
1584,851,0.3,12,3.6,0.2767,76.8586
1588,892,0.4,12,4.8,0.3084,64.2589
1592,931,0.4,12,4.8,0.3311,68.9838
1596,971,0.5,12,6,0.3674,61.2349
1600,1009,0.5,12,6,0.3946,65.7708
1604,1044,0.6,12,7.2,0.4264,59.219
1608,1084,0.7,12,8.4,0.4581,54.539
1612,1121,0.7,12,8.4,0.4899,58.319
1616,1152,0.8,12,9.6,0.5171,53.8641
1620,1186,0.8,12,9.6,0.5488,57.1715
1624,1227,1,12,12,0.5897,49.1391
1628,1263,1,12,12,0.626,52.1631
1632,1291,1.1,12,13.2,0.6532,49.4828
1636,1322,1.2,12,14.4,0.6849,47.5642
1640,1354,1.3,12,15.6,0.7121,45.65
1644,1385,1.4,12,16.8,0.7575,45.0892
1648,1424,1.5,12,18,0.7893,43.8472
1652,1453,1.6,12,19.2,0.8301,43.233
1656,1485,1.7,12,20.4,0.8573,42.024
1660,1515,1.8,12,21.6,0.8936,41.3693
1664,1539,2,12,24,0.9299,38.7443
1668,1567,2.1,12,25.2,0.9662,38.3393
1672,1599,2.2,12,26.4,1.0024,37.9711
1676,1632,2.3,12,27.6,1.0387,37.635
1680,1653,2.5,12,30,1.0841,36.1362
1684,1686,2.8,12,33.6,1.1385,33.8844
1688,1716,2.9,12,34.8,1.1612,33.3677
1692,1741,3,12,36,1.1975,33.2634
1696,1769,3.2,12,38.4,1.2338,32.1294
1700,1796,3.3,12,39.6,1.2791,32.3012
1704,1824,3.5,12,42,1.3109,31.2114
1708,1854,3.67,12,44,1.3517,30.6926
1712,1880,3.8,12,45.6,1.4016,30.7368
1716,1911,4,12,48,1.4334,29.8615
1720,1931,4.2,12,50.4,1.4832,29.4295
1724,1964,4.4,12,52.8,1.5286,28.9509
1728,1996,4.6,12,55.2,1.5649,28.3495
1732,2017,4.8,12,57.6,1.6329,28.3495
1736,2046,5,12,60,1.6738,27.8959
1740,2070,5.2,12,62.4,1.71,27.4045
1744,2083,5.4,12,64.8,1.769,27.2995
1748,2118,5.69,12,68.3,1.8189,26.6389
1752,2143,5.8,12,69.6,1.8461,26.5247
1756,2169,6,12,72,1.9051,26.4595
1760,2190,6.3,12,75.6,1.9232,25.4396
1764,2229,6.5,12,78,1.9641,25.1802
1768,2244,6.7,12,80.4,2.0321,25.2748
1772,2269,7,12,84,2.0865,24.8396
1776,2304,7.2,12,86.4,2.1319,24.6746
1780,2330,7.5,12,90,2.1772,24.1916
1784,2345,7.8,12,93.6,2.2362,23.8911
1788,2391,8,12,96,2.2725,23.6718
1792,2411,8.32,12,99.8,2.3315,23.352
1796,2432,8.64,12,103.7,2.3995,23.1433
1800,2456,8.9,12,106.8,2.463,23.0618
1804,2482,9.24,12,110.9,2.5084,22.6223
1808,2508,9.5,12,114,2.5628,22.4807
1812,2535,9.82,12,117.8,2.6172,22.21
1816,2562,10.14,12,121.7,2.6535,21.8073
1820,2585,10.45,12,125.4,2.7125,21.6306
1824,2613,10.72,12,128.6,2.776,21.5795
1828,2620,11.1,12,133.2,2.844,21.3515
1832,2661,11.32,12,135.8,2.8712,21.1369
1836,2681,11.62,12,139.4,2.9302,21.0141
1840,2698,12.01,12,144.1,3.0073,20.8667
1844,2721,12.37,12,148.4,3.0436,20.5039
1848,2751,12.61,12,151.3,3.0844,20.3835
1852,2773,13.04,12,156.5,3.157,20.1751
1856,2782,13.44,12,161.3,3.225,19.9965
1860,2808,13.7,12,164.4,3.2613,19.8378
1864,2835,14.11,12,169.3,3.3158,19.5828
1868,2859,14.4,12,172.8,3.3793,19.5559
1872,2879,14.76,12,177.1,3.4019,19.207
1876,2904,15.13,12,181.6,3.4473,18.9871
1880,2923,15.52,12,186.2,3.5017,18.8022
1884,2937,15.87,12,190.4,3.5698,18.7448
1888,2962,16.3,12,195.6,3.6378,18.5982
1892,2976,16.74,12,200.9,3.7058,18.4481
1896,2994,16.86,12,202.3,3.6922,18.2495
1900,2995,16.91,12,202.9,3.7142,18.3017
